text,text_lemmatize
i found out that there are over  thousand speices of moss here is a link for a moss websitehttps wonderopolis org wonder allaboutmoss link https wonderopolis org wonder allaboutmoss,i find out that there be over   thousand speice of moss here be a link for a moss websitehttps wonderopolis org wonder allaboutmoss link https wonderopolis org wonder allaboutmoss
ive noticesd that stars are made out of fire and they need oxgen but in space there is no oxgen so how do they burn missing link image https  rit albany edu manual assets  iconnoteunreadothr gif missing link link contribution by missing authors missing link is that the fire there burns on gas,-PRON- have noticesd that star be make out of fire and -PRON- need oxgen but in space there be no oxgen so how do -PRON- burn miss link image https   rit albany edu manual asset   iconnoteunreadothr gif miss link link contribution by miss author miss link be that the fire there burn on gas
ilhaam there is a great video on prescribed burns on the discovery center website link http www albanypinebush org conservation ecosystemrestorationandmanagement firemanagement,ilhaam there be a great video on prescribed burn on the discovery center website link http www albanypinebush org conservation ecosystemrestorationandmanagement firemanagement
image https  rit albany edu attachments    tree root depth jpgby james urban this picture,image https   rit albany edu attachment     tree root depth jpgby jam urban this picture
image https  rit albany edu attachments    ants s vs  gifimage https  rit albany edu attachments    ants  gif,image https   rit albany edu attachment     ant s vs   gifimage https   rit albany edu attachment     ant   gif
image https  rit albany edu attachments    trevor science  jpegthis is the orangesbefore they turned completely fuzzy ↓image https  rit albany edu attachments    trevor  jpegthis is the oranges after they turned completely fuzzy,image https   rit albany edu attachment     trevor science   jpegthis be the orangesbefore -PRON- turn completely fuzzy ↓image https   rit albany edu attachment     trevor   jpegthis be the orange after -PRON- turn completely fuzzy
image https  rit albany edu attachments    screenshot  at    am pnghere hopeflly this can help you more understand,image https   rit albany edu attachment     screenshot   at     be pnghere hopeflly this can help -PRON- more understand
image https  rit albany edu attachments    screenshot  at    am png,image https   rit albany edu attachment     screenshot   at     be png
image https  rit albany edu attachments    screenshot  at    am png,image https   rit albany edu attachment     screenshot   at     be png
image https  rit albany edu attachments    blob,image https   rit albany edu attachment     blob
image https  rit albany edu attachments    img   jpg,image https   rit albany edu attachment     img    jpg
image https  rit albany edu attachments    screenshot  at    am png,image https   rit albany edu attachment     screenshot   at     be png
image https www thoughtco com thmb    filtersno upscalemax  iccformatwebp leaf  jpgimage https www thoughtco com thmb   filtersno upscalemax  iccformatwebp leaf  jpgimage https www thoughtco com thmb    filtersno upscalemax  iccformatwebp leaf  jpg,image https www thoughtco com thmb     filtersno upscalemax   iccformatwebp leaf   jpgimage https www thoughtco com thmb    filtersno upscalemax   iccformatwebp leaf   jpgimage https www thoughtco com thmb     filtersno upscalemax   iccformatwebp leaf   jpg
image https www thoughtco com thmb ityuagxajpvtqzwb   filtersno upscalemax  iccformatwebp parts of a  jpgimage https www thoughtco com thmb  nbuo  filtersno upscalemax  iccformatwebp leaf  jpg,image https www thoughtco com thmb ityuagxajpvtqzwb    filtersno upscalemax   iccformatwebp part of a   jpgimage https www thoughtco com thmb   nbuo   filtersno upscalemax   iccformatwebp leaf   jpg
picturesimage https  rit albany edu attachments    blobimage https  rit albany edu attachments    screenshot  at    pm pngimage https  rit albany edu attachments    screenshot  at    pm pngimage https  rit albany edu attachments    screenshot  at    pm png,picturesimage https   rit albany edu attachment     blobimage https   rit albany edu attachment     screenshot   at     pm pngimage https   rit albany edu attachment     screenshot   at     pm pngimage https   rit albany edu attachment     screenshot   at     pm png
science docsgoogle docs link https docs google com document d  editusp sharing,science docsgoogle docs link https docs google com document d   editusp sharing
my theory is that most water are dirty in villages and if we install filters in villages so they can be clean,-PRON- theory be that most water be dirty in village and if -PRON- install filter in village so -PRON- can be clean
why isnt africas water system as well as ours,why be not africas water system as well as ours
it might be because they dont have the resources,-PRON- may be because -PRON- do not have the resource
how are they able to find resources,how be -PRON- able to find resource
i think its because there is not a lot of bodies of water and they have a lot of  world countries that can not afford wells,i think -PRON- because there be not a lot of body of water and -PRON- have a lot of   world country that can not afford well
some countries dont have the water they need because the dont have the equipment to filter and distribute it to more people,some country do not have the water -PRON- need because the do not have the equipment to filter and distribute -PRON- to more people
some countries also dont have much water because of a drout or of a water shortage from a war or hot weather,some country also do not have much water because of a drout or of a water shortage from a war or hot weather
today we did a water challenge the challenge was that you had to move  of water  centimeters to another beaker the challenge was a bit hard at first but when we got a hang of it,today -PRON- do a water challenge the challenge be that -PRON- have to move   of water   centimeter to another beaker the challenge be a bit hard at first but when -PRON- get a hang of -PRON-
i need to understand how would water get to those in need my theory is that you could build underground tubes instead of over ground tubes that way you can deliver watr without it interfearing with roads and buildings,i need to understand how would water get to those in need -PRON- theory be that -PRON- could build underground tube instead of over ground tube that way -PRON- can deliver watr without -PRON- interfeare with road and building
maybe we can install underground pipes that go to all of the villages and then the water can go through a filter and be cleaned and ready to drink,maybe -PRON- can install underground pipe that go to all of the village and then the water can go through a filter and be clean and ready to drink
so my theroy is that we could we can put water towers in different areas then we put pipes in,so -PRON- theroy be that -PRON- could -PRON- can put water tower in different area then -PRON- put pipe in
evaporation is water water is steaming,evaporation be water water be steam
our plan worked here are our stuff we had  tubes   way valve  connectors  beakers always and a sringe and a measuring tape,-PRON- plan work here be -PRON- stuff -PRON- have   tube    way valve   connector   beaker always and a sringe and a measuring tape
putting our knowledge together when we worked in teams of   we made a tube that we could fill water with and we made it to the second challange,put -PRON- knowledge together when -PRON- work in team of    -PRON- make a tube that -PRON- could fill water with and -PRON- make -PRON- to the second challange
during this experiment i learned its kinda hard to transfor the water to the cup because you have to come up with a plan etc,during this experiment i learn -PRON- kinda hard to transfor the water to the cup because -PRON- have to come up with a plan etc
well i guess it could be hard if you did not have a plan but other wise it would not be that hard,well i guess -PRON- could be hard if -PRON- do not have a plan but other wise -PRON- would not be that hard
why does africas water dry up so quickly,why do africas water dry up so quickly
it was fun to do with classmates and easy it didnt really make a big mess for us my questions are can we go longer and can it get harder cuz what we did was easy,-PRON- be fun to do with classmate and easy -PRON- do not really make a big mess for -PRON- -PRON- question be can -PRON- go longer and can -PRON- get hard cuz what -PRON- did be easy
i need to understand how filters work,i need to understand how filter work
i need to understand how do filters work,i need to understand how do filter work
starit was esey up thehoill,starit be esey up thehoill
my theory is that we used the brown filter first than we used a carben then white filter and  ,-PRON- theory be that -PRON- use the brown filter first than -PRON- use a carben then white filter and  
our nitrate level was  our groups plan is in my section but failure is a road to sucsecion,-PRON- nitrate level be   -PRON- group plan be in -PRON- section but failure be a road to sucsecion
they should filter the water if its dirty so its healthy or add pipes around so its not as hard to get water,-PRON- should filter the water if -PRON- dirty so -PRON- healthy or add pipe around so -PRON- not as hard to get water
why do we have a better water system than other counries what makes it different for them is it because the other countries are hotter than ours like africa,why do -PRON- have a well water system than other counrie what make -PRON- different for -PRON- be -PRON- because the other country be hot than our like africa
yeah africa is closer to equator,yeah africa be close to equator
what weill happed if you drink too much water will you be fine,what weill happe if -PRON- drink too much water will -PRON- be fine
https docs google com drawings d   link https docs google com drawings d   this is a water molecule drawing by me please do not edit it,https docs google com drawing d    link https docs google com drawing d    this be a water molecule draw by -PRON- please do not edit -PRON-
where did water come from,where do water come from
water onearthcycles from the oceans where it evaporates from the surface into the atmosphere forms clouds falls onto the land as rain travels through wetlands rivers lakes and underground then returns to the ocean — collectively known as the hydrologic cycle,water onearthcycle from the ocean where -PRON- evaporate from the surface into the atmosphere form cloud fall onto the land as rain travel through wetland river lake and underground then return to the ocean — collectively know as the hydrologic cycle
this theory cannot explain ifour water is coming from the ocean water that evaporates and later rains does rain water have salt in it too,this theory can not explain ifour water be come from the ocean water that evaporate and later rain do rain water have salt in -PRON- too
hey tyler a shorter word for water is ,hey tyl a short word for water be
comets transneptunian objects or waterrich meteoroids callled protoplanetsfrom the outer reaches of the asteroid belt colliding with earthmay have brought water to the worlds oceans,comet transneptunian object or waterrich meteoroid callle protoplanetsfrom the outer reach of the asteroid belt collide with earthmay have bring water to the world ocean
where did the earths watyleter originally come frommuch ofearths wateris thought to havecome fromasteroids impacting the planet early in its history image via nasa don davis the surface of the very youngearthwasinitiallyan ocean of magma hydrogen and noble gases from the solar nebula were drawn to the planetary embryo forming the first atmosphere,where do the earth watyleter originally come frommuch ofearth wateris think to havecome fromasteroid impact the planet early in -PRON- history image via nasa don davi the surface of the very youngearthwasinitiallyan ocean of magma hydrogen and noble gas from the solar nebula be draw to the planetary embryo form the first atmosphere
image https i stack imgur com  jpg,image https i stack imgur com   jpg
i am wondering if water forms in space what if the hyderojen and oxegen bind then came to earth some how can we make water on earth by binding the two elemnts,i be wonder if water form in space what if the hyderojen and oxegen bind then come to earth some how can -PRON- make water on earth by bind the two elemnt
you cant make water right,-PRON- can not make water right
humans impact water pollution in many waysfor one the endless stream of garbage dumped into the ocean a waterfall of plastic bags cans and water bottles are grinding into the beautiful sea life that surrounds our world this pollution is usually the cause of the millions of sea animals that wash up on our shores necks mouths intestines and lungs entwined with plastic because of this will dolphins become extinctmanantees,human impact water pollution in many waysfor one the endless stream of garbage dump into the ocean a waterfall of plastic bag can and water bottle be grind into the beautiful sea life that surround -PRON- world this pollution be usually the cause of the million of sea animal that wash up on -PRON- shore neck mouth intestine and lung entwine with plastic because of this will dolphin become extinctmanantee
i am wondering what would happen if you instead of having water for two weeks you drank sugar drinks,i be wonder what would happen if -PRON- instead of have water for two week -PRON- drank sugar drink
my theory is that if you drank only sugar drinks for  weeks these could be some of the results you might get diabetes your teethmight rot and fall out you might have a hyperactivity seizure your organs might get weaker because they had too much sugar energy and shorted out you would gain a lot of weight you might get dehydrated if there is caffeine in your drinks your blood sugars can spike and drop making you hyper and tired,-PRON- theory be that if -PRON- drank only sugar drink for   week these could be some of the result -PRON- may get diabetes -PRON- teethmight rot and fall out -PRON- may have a hyperactivity seizure -PRON- organ may get weak because -PRON- have too much sugar energy and short out -PRON- would gain a lot of weight -PRON- may get dehydrate if there be caffeine in -PRON- drink -PRON- blood sugar can spike and drop make -PRON- hyper and tired
i think what would happen is it could would dmage your teeth and youcould get diabetes like erica said you may not be able to survive it may be like drinking saltwater instead of regular water you cant survive if you just drink saltwater,i think what would happen be -PRON- could would dmage -PRON- tooth and youcould get diabete like erica say -PRON- may not be able to survive -PRON- may be like drinking saltwater instead of regular water -PRON- can not survive if -PRON- just drink saltwater
africas water dries up more quickly because they are closer to the equator,africas water dry up more quickly because -PRON- be close to the equator
yes thatsn right but some of the gose to the trees and dose not dry up and it stays under ground,yes thatsn right but some of the gose to the tree and dose not dry up and -PRON- stay under ground
my theory is that soda is way unhealither than water soda has sugar and other unhealther products water has just water is there any other differences,-PRON- theory be that soda be way unhealither than water soda have sugar and other unhealther product water have just water be there any other difference
i know that one diffrense is that sugar drinks have stuff likecornsyrupnatral flavorslots of sugarlots of lactose,i know that one diffrense be that sugar drink have stuff likecornsyrupnatral flavorslot of sugarlot of lactose
   water,    water
water is unheathy or does this mean that you get something un heathy with that,water be unheathy or do this mean that -PRON- get something un heathy with that
my question is where does water come from my theory is that water comes from earths core the water then goes through the ground and goes to lakes rivers or oceans new infowater onearthcycles from the oceans where it evaporates from the surface into the atmosphere forms clouds falls onto the land as rain travels through wetlands rivers lakes and underground then returns to the ocean — collectively known as the hydrologic cycle,-PRON- question be where do water come from -PRON- theory be that water come from earth core the water then go through the ground and go to lake river or ocean new infowater onearthcycle from the ocean where -PRON- evaporate from the surface into the atmosphere form cloud fall onto the land as rain travel through wetland river lake and underground then return to the ocean — collectively know as the hydrologic cycle
my theory the water comes from graciers lakes groundwaters swamps and river,-PRON- theory the water come from gracier lake groundwater swamp and river
it could i also think that too,-PRON- could i also think that too
i know that the earth will always have about the same amount of water but we can make water dirty so we cant use it again until we purify it in africa one of the main water sources is lake chad but it has been shrinking here is a link to a picture of lake chads water supply https docs google com document d    edit link https docs google com document d    edit,i know that the earth will always have about the same amount of water but -PRON- can make water dirty so -PRON- can not use -PRON- again until -PRON- purify -PRON- in africa one of the main water source be lake chad but -PRON- have be shrink here be a link to a picture of lake chad water supply https docs google com document d     edit link https docs google com document d     edit
were does water come from,be do water come from
how does water scarcity happen,how do water scarcity happen
water scarcity happens when a place is too hot like africa the water evaporates more often,water scarcity happen when a place be too hot like africa the water evaporate more often
i am wondering why sugar drinks have a taste and water doesnt have one,i be wonder why sugar drink have a taste and water do not have one
my theory is most likely that water doesnt have a lot of flavor like ingredients and soda lets say dr pepper has like a caramel color or like caffiene idk how to spell it so that is how,-PRON- theory be most likely that water do not have a lot of flavor like ingredient and soda let say dr pepper have like a caramel color or like caffiene idk how to spell -PRON- so that be how
does this mean that water tastes like nothing,do this mean that water taste like nothing
my wondering iswhat are some ways humans purify water,-PRON- wondering iswhat be some way human purify water
some ways humans purify water are boiling iodine filtration systems evapration traps,some way human purify water be boil iodine filtration system evapration trap
one way humans purify water is a filtration system another way humans could purify water is boiling the water,one way human purify water be a filtration system another way human could purify water be boil the water
can you make wateri do not think you can,can -PRON- make wateri do not think -PRON- can
whats water made out of,what s water make out of
how would we find a way to increase our water supply to througout the united states instead of just here in america,how would -PRON- find a way to increase -PRON- water supply to througout the united state instead of just here in america
we need water because  of the human body is made out of water and also since plants need water and they give us oxygen and we need water to live and we get the oxygen from the plants and we give carbon dioxide back to the plants so basically almost everything need water,-PRON- need water because   of the human body be make out of water and also since plant need water and -PRON- give -PRON- oxygen and -PRON- need water to live and -PRON- get the oxygen from the plant and -PRON- give carbon dioxide back to the plant so basically almost everything need water
putting our knowledge together to build on we all need water to servive you should wach the movie holes it will really help it gives you information about what will happen if you dont drink water and what will happen if you dont eat for a while,put -PRON- knowledge together to build on -PRON- all need water to servive -PRON- should wach the movie hole -PRON- will really help -PRON- give -PRON- information about what will happen if -PRON- do not drink water and what will happen if -PRON- do not eat for a while
my theory is that it has to do with chemestrey,-PRON- theory be that -PRON- have to do with chemestrey
wow you can´t we can clean it but making it is a no you can serch that ongoogle but still,wow -PRON- can´t -PRON- can clean -PRON- but make -PRON- be a no -PRON- can serch that ongoogle but still
how do you make water,how do -PRON- make water
i dont think we can make water we get our water from the rain or ground water and other types of ways these are like the types of ways we get water,i do not think -PRON- can make water -PRON- get -PRON- water from the rain or ground water and other type of way these be like the type of way -PRON- get water
we know how to make water but its really hard and there are lots of complications  google it ,-PRON- know how to make water but -PRON- really hard and there be lot of complication   google -PRON-
would we take the time just to make water when it rains every once in a while and google doesnt know everything,would -PRON- take the time just to make water when -PRON- rain every once in a while and google do not know everything
i didnt say we should do it i said we know but theres lots of complications i ment google it and find a website,i do not say -PRON- should do -PRON- i say -PRON- know but there s lot of complication i ment google -PRON- and find a website
we have so much water in the ocean whats the point of making water,-PRON- have so much water in the ocean what s the point of make water
again i didnt say that humans should start making water and ocean water has salt in it if we drink too much humans will die thats what some people are trying to figure out how to get salt out of the salt water but your obviously not listening i know google dosnt know everything i said find a website,again i do not say that human should start make water and ocean water have salt in -PRON- if -PRON- drink too much human will die that s what some people be try to figure out how to get salt out of the salt water but -PRON- obviously not listen i know google dosnt know everything i say find a website
how do you make water can somebody help me,how do -PRON- make water can somebody help -PRON-
why cant we just strain the salt water to purify the water,why can not -PRON- just strain the salt water to purify the water
hi this is sienna my wondering is how can we move glaciar water to our home town and other placesthank you,hi this be sienna -PRON- wondering be how can -PRON- move glaciar water to -PRON- home town and other placesthank -PRON-
my theory is that if we find a way to filter saltwater it could help humans,-PRON- theory be that if -PRON- find a way to filter saltwater -PRON- could help human
hey timy they already made a filter that can trancfer the salt out of salt water,hey timy -PRON- already make a filter that can trancfer the salt out of salt water
putting our knowledge together if there is already something that can get the salt out of salt water than we would not be having this unit,put -PRON- knowledge together if there be already something that can get the salt out of salt water than -PRON- would not be have this unit
the reason why is that it is very expensive to desalinate water,the reason why be that -PRON- be very expensive to desalinate water
i need to understand why we cant just boil the salt out of the water and filter it also if the water is moving from the ocean to rivers to lakes and streams where it gets cleaned and drinked then why cant we just take out the salt and clean the ocean water of couse then we would have to see how to get it to people in need but still why cant we just do that stuff to the sea water and just deel with it if it is clean it makes no sense,i need to understand why -PRON- can not just boil the salt out of the water and filter -PRON- also if the water be move from the ocean to river to lake and stream where -PRON- get clean and drink then why can not -PRON- just take out the salt and clean the ocean water of couse then -PRON- would have to see how to get -PRON- to people in need but still why can not -PRON- just do that stuff to the sea water and just deel with -PRON- if -PRON- be clean -PRON- make no sense
my theory we can use ships to get it to poor courtys or bulid pips ouder nith the ocan to carry the water,-PRON- theory -PRON- can use ship to get -PRON- to poor courty or bulid pip ouder nith the ocan to carry the water
i know that  hydrogen atoms and  oxygen atom also known as  so if we combine those i think we might get water,i know that   hydrogen atom and   oxygen atom also know as   so if -PRON- combine those i think -PRON- may get water
i fully agree with you on this topic but i have a question how do the hydrogen atoms and oxygen atoms bond,i fully agree with -PRON- on this topic but i have a question how do the hydrogen atom and oxygen atom bond
if we put   hydrogen and   oxygen in a container then we might turn out with water if we can get a big chunk of a glacier then we can melt it and give more water to countries in need,if -PRON- put    hydrogen and    oxygen in a container then -PRON- may turn out with water if -PRON- can get a big chunk of a glacier then -PRON- can melt -PRON- and give more water to country in need
we can not bind the two but i was thinking the same thing about both,-PRON- can not bind the two but i be think the same thing about both
what if we had fiters that can filter the salt out of salt water oh wait we do so why can´t we just take a lot of those filter and put thenm all around the world and then peopl can get fresh water all the time and the fresh water can go to alot of good cause and all those cause are food and health,what if -PRON- have fiter that can filter the salt out of salt water oh wait -PRON- do so why can´t -PRON- just take a lot of those filter and put thenm all around the world and then peopl can get fresh water all the time and the fresh water can go to alot of good cause and all those cause be food and health
i need to understand that why some people can get to water so fast and other people cant is it because those countries are hotter and water evaporates faster or is it because they dont have the technology that we have here and we have water pipes and other countries dont,i need to understand that why some people can get to water so fast and other people can not be -PRON- because those country be hot and water evaporate faster or be -PRON- because -PRON- do not have the technology that -PRON- have here and -PRON- have water pipe and other country do not
water scarcity has been happening in the book long walk to water because in  nyla has to walk the whole morning to get water,water scarcity have be happen in the book long walk to water because in   nyla have to walk the whole morning to get water
why cant salva just make a water filter,why can not salva just make a water filter
salva doesnt have the mateirials,salva do not have the mateirial
my theory is that we should build filters in big factories and transport water all around the world and check if the filters take out the salt in the water,-PRON- theory be that -PRON- should build filter in big factory and transport water all around the world and check if the filter take out the salt in the water
one way to get fresh water is to melt glaciers into water i know this because if you melt snow or ice it becomes water,one way to get fresh water be to melt glacier into water i know this because if -PRON- melt snow or ice -PRON- become water
what are leaches and how are they getting attached to us what happens when they attach on to us,what be leach and how be -PRON- get attach to -PRON- what happen when -PRON- attach on to -PRON-
putting our knowledge together just think about how much water we actually have in this world compared to the salt water salt water is poisen thats why we sweat salt water and pee salt water this is also why your pee is yellow if its clear then you need to drink water,put -PRON- knowledge together just think about how much water -PRON- actually have in this world compare to the salt water salt water be poisen that s why -PRON- sweat salt water and pee salt water this be also why -PRON- pee be yellow if -PRON- clear then -PRON- need to drink water
i do not think salt water is poisonous but we can not use it also pee and sweat as far as i know are not salt water,i do not think salt water be poisonous but -PRON- can not use -PRON- also pee and sweat as far as i know be not salt water
sorry if that was rude,sorry if that be rude
freshwater is water that humans need to survive,freshwater be water that human need to survive
i need to understand how can scientist make cars that drive its self but they cant turn saltwater into freshwater ,i need to understand how can scientist make car that drive -PRON- self but -PRON- can not turn saltwater into freshwater
can we build filters for your problem,can -PRON- build filter for -PRON- problem
salva has a journey to his home town to eathiopia at the beggening of the journey he had to walk and than get the honey and than walk some more and than get his uncle to join his journey and than let his uncle to hunt down food and than eat the food and than walk some more and than help fix the boat and than test the boat and than eat some food and than get mosquito bites and than travel on the river,salva have a journey to -PRON- home town to eathiopia at the beggening of the journey -PRON- have to walk and than get the honey and than walk some more and than get -PRON- uncle to join -PRON- journey and than let -PRON- uncle to hunt down food and than eat the food and than walk some more and than help fix the boat and than test the boat and than eat some food and than get mosquito bite and than travel on the river
how do humans impact the water we needtheyaffectthe quality of rainwater and ofwaterresources both above and below ground and damage natural systems the causes of freshwater pollution are varied and include industrial wastes sewage runoff from farmland cities and factory effluents and the buildup of sediment,how do human impact the water -PRON- needtheyaffectthe quality of rainwater and ofwaterresource both above and below ground and damage natural system the cause of freshwater pollution be varied and include industrial waste sewage runoff from farmland city and factory effluent and the buildup of sediment
will we ever run out of water well im going reaserch will we run out of water,will -PRON- ever run out of water well -PRON- be go reaserch will -PRON- run out of water
https www google com searchq where does water come from amp rlz   amp source lnms amp tbm isch amp sa x amp ved   auidygc amp biw  amp bih  amp safe active amp ssui on imgrc jtvt qzcenybym link https www google com searchq where does water come from amp rlz   amp source lnms amp tbm isch amp sa x amp ved   auidygc amp biw  amp bih  amp safe active amp ssui on imgrc jtvt qzcenybym,https www google com searchq where do water come from amp rlz    amp source lnms amp tbm isch amp sa x amp ve    auidygc amp biw   amp bih   amp safe active amp ssui on imgrc jtvt qzcenybym link https www google com searchq where do water come from amp rlz    amp source lnms amp tbm isch amp sa x amp ve    auidygc amp biw   amp bih   amp safe active amp ssui on imgrc jtvt qzcenybym
you can create water but it would be dangrass and we might loose osgyan,-PRON- can create water but -PRON- would be dangrass and -PRON- may loose osgyan
how can we help stop water pollution,how can -PRON- help stop water pollution
how can we help to get water for those in need all around the world in our community,how can -PRON- help to get water for those in need all around the world in -PRON- community
my new question for the water unit is why can we not make water,-PRON- new question for the water unit be why can -PRON- not make water
putting our knowledge together i know that people need clean water in order to stay nice and healthy otherwise if people drink dirty water people is going to be sick or pass away,put -PRON- knowledge together i know that people need clean water in order to stay nice and healthy otherwise if people drink dirty water people be go to be sick or pass away
https www google com searchq could humans create water amp rlz   amp oq could amp aqs chrome    amp sourceid chrome amp ie  amp safe active amp ssui on link https www google com searchq could humans create water amp rlz   amp oq could amp aqs chrome    amp sourceid chrome amp ie  amp safe active amp ssui on,https www google com searchq could human create water amp rlz    amp oq could amp aqs chrome     amp sourceid chrome amp ie   amp safe active amp ssui on link https www google com searchq could human create water amp rlz    amp oq could amp aqs chrome     amp sourceid chrome amp ie   amp safe active amp ssui on
water is importent to us for many reasons so why are wedestroying it and filling it with garbage my theory is that people dont know where to put it so we dump it in water that we can use for many things but we people think that our garbage is going some place that is ok but we dont know whats actually happening cause we dont get telled were basically being lied to in the face i think we should do something about that,water be importent to -PRON- for many reason so why be wedestroye -PRON- and fill -PRON- with garbage -PRON- theory be that people do not know where to put -PRON- so -PRON- dump -PRON- in water that -PRON- can use for many thing but -PRON- people think that -PRON- garbage be go some place that be ok but -PRON- do not know what s actually happen cause -PRON- do not get tell be basically be lie to in the face i think -PRON- should do something about that
pollution in the waterthe main sources of water pollution are discharge of untreated raw sewage from households and factories chemicals dumped from factories human littering in rivers oceans lakes and other bodies of water the great pacific garbage patch is one of the main sources of pollution in the water it is known for its many garbage and plastic every day approximately  million pieces of plastic pollution find their way into our oceans there may now be around   trillion macro and microplastic pieces floating in the open ocean weighing up to   tons in developing countries  percent of industrial wastes are dumped untreated into waters polluting the usable water supply polluted water can cause serious diseases some of these waterborne diseases are typhoid cholera paratyphoid fever dysentery jaundice amoebiasis and malaria chemicals in the water also have negative effects on our health pesticides – can damage the nervous system and cause cancer because of the carbonates and organophosphates that they contain each year   trillion gallons of untreated sewage stormwater and industrial waste are dumped into us water while children make up  of the worlds population over  of the global burden of disease falls on them more than  million children under age five die annually from environmental factors “approximately  of the lakes in america are too polluted for fishing aquatic life or swimming ” “each year   trillion gallons of untreated sewage stormwater and industrial waste are dumped into us water ” eighty percent of pollution to the marine environment comes from the land,"pollution in the waterthe main source of water pollution be discharge of untreated raw sewage from household and factory chemical dump from factory human littering in river ocean lake and other body of water the great pacific garbage patch be one of the main source of pollution in the water -PRON- be know for -PRON- many garbage and plastic every day approximately   million piece of plastic pollution find -PRON- way into -PRON- ocean there may now be around    trillion macro and microplastic piece float in the open ocean weigh up to    ton in develop country   percent of industrial waste be dump untreated into water pollute the usable water supply polluted water can cause serious disease some of these waterborne disease be typhoid cholera paratyphoid fever dysentery jaundice amoebiasis and malaria chemical in the water also have negative effect on -PRON- health pesticide – can damage the nervous system and cause cancer because of the carbonate and organophosphate that -PRON- contain each year    trillion gallon of untreated sewage stormwater and industrial waste be dump into -PRON- water while child make up   of the world population over   of the global burden of disease fall on -PRON- more than   million child under age five die annually from environmental factor "" approximately   of the lake in america be too polluted for fish aquatic life or swimming "" “ each year    trillion gallon of untreated sewage stormwater and industrial waste be dump into -PRON- water "" eighty percent of pollution to the marine environment come from the land"
water pollution is the contamination of bodies of water usually caused by humans water pollution happens when contaminants get into the water source,water pollution be the contamination of body of water usually cause by human water pollution happen when contaminant get into the water source
because we cant servive without water,because -PRON- can not servive without water
there is soething called the water table it is under all the soil its at the way bottem do you know what satured means grab a spunge and dip it in a bowl of water squeez it and all the water will spill out if a drop of rain drops on to the soil or durt the drop of water will evaporate into the air when water squirts out of the soil durt its calld a spring just like in tuck everlasting,there be soethe call the water table -PRON- be under all the soil -PRON- at the way bottem do -PRON- know what sature mean grab a spunge and dip -PRON- in a bowl of water squeez -PRON- and all the water will spill out if a drop of rain drop on to the soil or durt the drop of water will evaporate into the air when water squirt out of the soil durt -PRON- calld a spring just like in tuck everlasting
https docs google com document d   edit link https docs google com document d   edit,https docs google com document d    edit link https docs google com document d    edit
my theory is that water is way heather than soda a better theory is soda has a lot of calerles and water is way beter than soda and milk is better than,-PRON- theory be that water be way heather than soda a well theory be soda have a lot of calerle and water be way bet than soda and milk be well than
i am wondering if milk or water are healthier,i be wonder if milk or water be healthy
hi guys sorry if the link doesent work i am working on it so just be pastiont spelling might be bad,hi guy sorry if the link doesent work i be work on -PRON- so just be pastiont spelling may be bad
https www townofbethlehem org documentcenter view   link https www townofbethlehem org documentcenter view   this link for this queston why do people have to spend money for water,https www townofbethlehem org documentcenter view    link https www townofbethlehem org documentcenter view    this link for this queston why do people have to spend money for water
for this experiment at school that i did at class was that we tried to move water from the ground to the table and we kind of had some mistakes the litle plugs kept coming of and we did not get much water in the first test but on second we improved so it shows me that when you first do somting it does not go well but if your trying again you will succeed,for this experiment at school that i do at class be that -PRON- try to move water from the ground to the table and -PRON- kind of have some mistake the litle plug keep come of and -PRON- do not get much water in the first test but on second -PRON- improve so -PRON- show -PRON- that when -PRON- first do somte -PRON- do not go well but if -PRON- try again -PRON- will succeed
i think in our group we should have put the tube inside the beaker and put tape around it more,i think in -PRON- group -PRON- should have put the tube inside the beaker and put tape around -PRON- more
my theory i read a book and it said that if there were no moon there would be no waves is that true and if it was true why,-PRON- theory i read a book and -PRON- say that if there be no moon there would be no wave be that true and if -PRON- be true why
if there was no water could you drink juice insted,if there be no water could -PRON- drink juice inste
the fruit would need water i think it would have water in it and if it has added sugar or sweetner that would need water to so i dont think so plus water is better for you,the fruit would need water i think -PRON- would have water in -PRON- and if -PRON- have add sugar or sweetner that would need water to so i do not think so plus water be well for -PRON-
no because water does not carry sugar juice carrys a ton of sugar and its not that healthy,no because water do not carry sugar juice carry a ton of sugar and -PRON- not that healthy
i wonder how and why do fish breath water,i wonder how and why do fish breath water
fish have gills which help them breathe underwater,fish have gill which help -PRON- breathe underwater
i got a great idea if helicopters scooped up water with giant water tanks wouldnt that help people who need water,i get a great idea if helicopter scoop up water with giant water tank would not that help people who need water
the water sikell is so in porentent for us as humens and us with plastic is so bad for evey thing straerrecycling or we are going toregretted most of our water comes from our oceans which are very dirty there is stillnot much left for the animals and it will be very disgusting cuz i was little pieces of plastic,the water sikell be so in porentent for -PRON- as humen and -PRON- with plastic be so bad for evey thing straerrecycle or -PRON- be go toregrette most of -PRON- water come from -PRON- ocean which be very dirty there be stillnot much leave for the animal and -PRON- will be very disgusting cuz i be little piece of plastic
